fid;Kanton;ID_Nr;Latte;Latte-ID;x;y;Dat_Kontrolle;NameMitarbeiter;SampleID;RESULTAT;Male;mtDNAcod;IndividuenID;BioGeoRegions;AltitudeMedian;SettlementProportion;ForestProportion;TypoCH_NUM;TypoCH;OBJEKTART;Distance;Bemerkung
337;AG;647254;B;647254B;647161;254350;2018/19;;WKMIII;;;;;Jura;661;0.05;0.47;621;Orchideen-Buchenwald;Wald;68.65068375;
338;AG;647254;C;647254C;647741;254167;2018/19;;WKMIII;;;;;Jura;661;0.05;0.47;623;Waldmeister-Buchenwald;Wald;27.22587566;
339;AG;647262;A;647262A;647768;262455;2018/19;;WKMIII;;;;;Jura;557;0.04;0.61;62;Buchenwälder;Wald;102.3116313;
340;AG;647262;B;647262B;647179;262821;2018/19;;WKMIII;;;;;Jura;557;0.04;0.61;623;Waldmeister-Buchenwald;Wald;18.58396217;
341;AG;647262;C;647262C;647822;262876;2018/19;;WKMIII;;;;;Jura;557;0.04;0.61;623;Waldmeister-Buchenwald;Wald;458.3499509;
342;AG;650234;B;650234B;650442;234228;2018/19;;WKMIII;;;;;Plateau;663;0.17;0.26;624;Zahnwurz-Buchenwald;Wald;146.2446433;
343;AG;650266;A;650266A;650138;266520;2018/19;;WKMIII;;;;;Plateau;489;0.05;0.50;621;Orchideen-Buchenwald;Wald;135.1463113;
344;AG;650266;B;650266B;650823;266253;2018/19;;WKMIII;;;;;Plateau;489;0.05;0.50;62;Buchenwälder;Wald;41.98962653;
345;AG;650266;C;650266C;650846;266923;2018/19;;WKMIII;;;;;Plateau;489;0.05;0.50;621;Orchideen-Buchenwald;Wald;29.31386088;
346;AG;652251;A;652251A;652804;251382;2018/19;;WKMIII;;;;;Plateau;361;0.27;0.39;614;Hartholz-Auenwald;Wald;25.40981911;
347;AG;652251;C;652251C;652427;251561;2018/19;;WKMIII;;;;;Plateau;361;0.27;0.39;614;Hartholz-Auenwald;Wald;27.33656261;
348;AG;653246;B;653246B;653954;246900;2018/19;;WKMIII;;;;;Plateau;434;0.07;0.35;622;Hainsimsen-Buchenwald;Wald;97.36685114;
349;AG;653246;C;653246C;653852;246332;2018/19;;WKMIII;;;;;Plateau;434;0.07;0.35;624;Zahnwurz-Buchenwald;Wald;105.5614239;
350;AG;656250;C;656250C;656775;250212;2018/19;;WKMIII;;;;;Plateau;410;0.17;0.60;624;Zahnwurz-Buchenwald;Wald;175.9585732;
351;AG;656258;B;656258B;656540;258511;2018/19;;WKMIII;;;;;Jura;339;0.14;0.49;614;Hartholz-Auenwald;Wald;102.9213498;
352;AG;656258;C;656258C;656298;258178;2018/19;;WKMIII;;;;;Jura;339;0.14;0.49;614;Hartholz-Auenwald;Wald;25.04981716;
353;AG;662242;B;662242B;662339;242905;2018/19;;WKMIII;;;;;Plateau;501;0.15;0.19;624;Zahnwurz-Buchenwald;Wald;62.82095213;
354;AG;662242;C;662242C;662678;242943;2018/19;;WKMIII;;;;;Plateau;501;0.15;0.19;624;Zahnwurz-Buchenwald;Wald;57.64918152;
355;AG;672242;A;672242A;672776;242819;2018/19;;WKMIII;;;;;Plateau;559;0.07;0.46;621;Orchideen-Buchenwald;Wald;36.10410186;
356;AG;672242;B;672242B;672724;242434;2018/19;;WKMIII;;;;;Plateau;559;0.07;0.46;62;Buchenwälder;Wald;101.9138553;
357;AG;672242;C;672242C;672894;242219;2018/19;;WKMIII;;;;;Plateau;559;0.07;0.46;624;Zahnwurz-Buchenwald;Wald;203.4043475;
358;AG;640252;A;640252A;640906;252258;2019/20;;WKMIV;;;;;0;773;0.02;0.86;641;Pfeifengras-Föhrenwald;Wald;285.1575988;
359;AG;640252;B;640252B;640760;252865;2019/20;;WKMIV;;;;;0;773;0.02;0.86;624;Zahnwurz-Buchenwald;Wald;335.3046351;
360;AG;640252;C;640252C;640485;252839;2019/20;;WKMIV;;;;;0;773;0.02;0.86;624;Zahnwurz-Buchenwald;Wald;208.1150853;
361;AG;641254;A;641254A;641726;254208;2019/20;;WKMIV;;;;;Jura;758;0.00;0.83;623;Waldmeister-Buchenwald;Wald;267.856198;
362;AG;641262;A;641262A;641798;262587;2019/20;;WKMIV;;;;;Jura;477;0.07;0.40;62;Buchenwälder;Wald;165.6129099;
363;AG;641262;B;641262B;641825;262728;2019/20;;WKMIV;;;;;Jura;477;0.07;0.40;62;Buchenwälder;Wald;275.5928145;
364;AG;641262;C;641262C;641161;262691;2019/20;;WKMIV;;;;;Jura;477;0.07;0.40;623;Waldmeister-Buchenwald;Wald;84.82877469;
365;AG;644234;A;644234A;644180;234400;2019/20;;WKMIV;;;;;Plateau;640;0.05;0.71;624;Zahnwurz-Buchenwald;Wald;296.1406023;
366;AG;644234;C;644234C;644607;234692;2019/20;;WKMIV;;;;;Plateau;640;0.05;0.71;624;Zahnwurz-Buchenwald;Wald;69.38976209;
367;AG;644253;A;644253A;644449;253531;2019/20;;WKMIV;;;;;0;654;0.04;0.63;623;Waldmeister-Buchenwald;Wald;8.115425199;
368;AG;644253;B;644253B;644118;253118;2019/20;;WKMIV;;;;;0;654;0.04;0.63;62;Buchenwälder;Wald;379.1017668;
369;AG;644253;C;644253C;644915;253193;2019/20;;WKMIV;;;;;0;654;0.04;0.63;62;Buchenwälder;Wald;21.21598192;
370;AG;649251;A;649251A;649547;251327;2019/20;;WKMIV;;;;;0;390;0.12;0.31;612;Weichholz-Auenwald;Wald;18.14497743;
371;AG;649251;B;649251B;649825;251284;2019/20;;WKMIV;;;;;0;390;0.12;0.31;614;Hartholz-Auenwald;Wald;43.67444925;
372;AG;650250;A;650250A;650833;250460;2019/20;;WKMIV;;;;;Plateau;371;0.08;0.80;52;Hochstauden- und Schlagfluren;Wald;201.7811355;
373;AG;650250;B;650250B;650180;250332;2019/20;;WKMIV;;;;;Plateau;371;0.08;0.80;622;Hainsimsen-Buchenwald;Wald;226.4337515;
374;AG;650250;C;650250C;650123;250977;2019/20;;WKMIV;;;;;Plateau;371;0.08;0.80;62;Buchenwälder;Wald;75.33310173;
375;AG;650258;C;650258C;650222;258449;2019/20;;WKMIV;;;;;Jura;521;0.02;0.72;623;Waldmeister-Buchenwald;Wald;172.7138691;
376;AG;653246;B;653246B;653931;246254;2019/20;;WKMIV;;;;;Plateau;434;0.07;0.35;624;Zahnwurz-Buchenwald;Wald;87.55514418;
377;AG;653246;C;653246C;653923;246869;2019/20;;WKMIV;;;;;Plateau;434;0.07;0.35;622;Hainsimsen-Buchenwald;Wald;57.66450016;
378;AG;662258;B;662258B;662541;258308;2019/20;;WKMIV;;;;;Plateau;539;0.03;0.75;622;Hainsimsen-Buchenwald;Wald;300.8027248;
379;AG;662258;C;662258C;662879;258525;2019/20;;WKMIV;;;;;Plateau;539;0.03;0.75;62;Buchenwälder;Wald;468.3856303;
380;AG;665246;A;665246A;665086;246590;2019/20;;WKMIV;;;;;Plateau;408;0.13;0.33;622;Hainsimsen-Buchenwald;Wald;143.3868032;
381;AG;665246;B;665246B;665579;246367;2019/20;;WKMIV;;;;;Plateau;408;0.13;0.33;622;Hainsimsen-Buchenwald;Wald;109.9473418;
382;AG;665246;C;665246C;665493;246090;2019/20;;WKMIV;;;;;Plateau;408;0.13;0.33;623;Waldmeister-Buchenwald;Wald;58.82693001;
383;AG;671266;A;671266A;671616;266092;2019/20;;WKMIV;;;;;Plateau;530;0.08;0.50;62;Buchenwälder;Wald;30.89113494;
384;AG;671266;B;671266B;671401;266530;2019/20;;WKMIV;;;;;Plateau;530;0.08;0.50;62;Buchenwälder;Wald;50.19884079;
385;AG;671266;C;671266C;671552;266740;2019/20;;WKMIV;;;;;Plateau;530;0.08;0.50;62;Buchenwälder;Wald;74.25215132;
386;AG;672242;A;672242A;672804;242171;2019/20;;WKMIV;;;;;Plateau;559;0.07;0.46;624;Zahnwurz-Buchenwald;Wald;128.8068532;
387;AG;672242;B;672242B;672699;242525;2019/20;;WKMIV;;;;;Plateau;559;0.07;0.46;624;Zahnwurz-Buchenwald;Wald;76.66796567;
388;AG;672242;C;672242C;672811;242753;2019/20;;WKMIV;;;;;Plateau;559;0.07;0.46;621;Orchideen-Buchenwald;Wald;84.52791602;
389;BE;557222;A;557222A;557662;222552;2018/19;;WKMIII;;;;;Jura;922;0.02;0.61;623;Waldmeister-Buchenwald;Wald;117.952104;
390;BE;557222;B;557222B;557727;222245;2018/19;;WKMIII;;;;;Jura;922;0.02;0.61;624;Zahnwurz-Buchenwald;Wald;200.1960115;
391;BE;557222;C;557222C;557633;222005;2018/19;;WKMIII;;;;;Jura;922;0.02;0.61;624;Zahnwurz-Buchenwald;Wald;227.8769328;
392;BE;572210;A;572210A;572652;210031;2018/19;;WKMIII;;;;;Plateau;445;0.07;0.17;62;Buchenwälder;Wald;168.2897355;
393;BE;572210;B;572210B;572832;210220;2018/19;;WKMIII;;;;;Plateau;445;0.07;0.17;623;Waldmeister-Buchenwald;Wald;38.32520096;
394;BE;572210;C;572210C;572734;210653;2018/19;;WKMIII;;;;;Plateau;445;0.07;0.17;633;Eichen- Hainbuchenwald;Wald;38.66576122;
395;BE;572226;A;572226A;572104;226277;2018/19;;WKMIII;;;;;Jura;841;0.02;0.45;624;Zahnwurz-Buchenwald;Wald;112.9148127;
396;BE;572226;B;572226B;572014;226575;2018/19;;WKMIII;;;;;Jura;841;0.02;0.45;62;Buchenwälder;Wald;41.24544533;
397;BE;572226;C;572226C;572637;226925;2018/19;;WKMIII;;;;;Jura;841;0.02;0.45;624;Zahnwurz-Buchenwald;Wald;62.66313626;
398;BE;575214;A;575214A;575135;214840;2018/19;;WKMIII;;;;;Jura;658;0.05;0.74;623;Waldmeister-Buchenwald;Wald;111.6459425;
399;BE;575214;B;575214B;575580;214675;2018/19;;WKMIII;;;;;Jura;658;0.05;0.74;621;Orchideen-Buchenwald;Wald;131.2833802;
400;BE;578234;A;578234A;578334;234505;2018/19;;WKMIII;;;;;Jura;999;0.02;0.34;624;Zahnwurz-Buchenwald;Wald;124.1231982;
401;BE;578234;B;578234B;578436;234570;2018/19;;WKMIII;;;;;Jura;999;0.02;0.34;624;Zahnwurz-Buchenwald;Wald;162.8039171;
402;BE;581222;A;581222A;581780;222840;2018/19;;WKMIII;;;;;Jura;799;0.06;0.42;623;Waldmeister-Buchenwald;Wald;51.82994825;
403;BE;581222;B;581222B;581115;222300;2018/19;;WKMIII;;;;;Jura;799;0.06;0.42;623;Waldmeister-Buchenwald;Wald;56.51618578;
404;BE;581222;C;581222C;581190;222655;2018/19;;WKMIII;;;;;Jura;799;0.06;0.42;623;Waldmeister-Buchenwald;Wald;124.6234989;
405;BE;584226;B;584226B;584090;226165;2018/19;;WKMIII;;;;;Jura;670;0.19;0.45;623;Waldmeister-Buchenwald;Wald;44.56808296;
406;BE;587230;A;587230A;587801;230574;2018/19;;WKMIII;;;;;Jura;927;0.01;0.83;624;Zahnwurz-Buchenwald;Wald;182.7133053;
407;BE;587230;B;587230B;587559;230714;2018/19;;WKMIII;;;;;Jura;927;0.01;0.83;624;Zahnwurz-Buchenwald;Wald;43.57674759;
408;BE;587230;C;587230C;587209;230226;2018/19;;WKMIII;;;;;Jura;927;0.01;0.83;624;Zahnwurz-Buchenwald;Wald;156.0342816;
409;BE;590218;B;590218B;590960;218300;2018/19;;WKMIII;;;;;Plateau;434;0.09;0.09;614;Hartholz-Auenwald;Wald;90.81865141;
410;BE;590218;C;590218C;590940;218390;2018/19;;WKMIII;;;;;Plateau;434;0.09;0.09;614;Hartholz-Auenwald;Wald;86.01416793;
411;BE;590234;A;590234A;590237;234189;2018/19;;WKMIII;;;;;Jura;897;0.02;0.65;623;Waldmeister-Buchenwald;Wald;22.31707064;
412;BE;590234;B;590234B;590946;234870;2018/19;;WKMIII;;;;;Jura;897;0.02;0.65;623;Waldmeister-Buchenwald;Wald;50.90437849;
413;BE;590234;C;590234C;590075;234794;2018/19;;WKMIII;;;;;Jura;897;0.02;0.65;933;Naturstrasse, Weg;Wald;88.26986638;
414;BE;593238;B;593238B;593792;238760;2018/19;;WKMIII;;;;;Jura;1007;0.02;0.70;623;Waldmeister-Buchenwald;Wald;334.1366763;
415;BE;593238;C;593238C;593650;238528;2018/19;;WKMIII;;;;;Jura;1007;0.02;0.70;624;Zahnwurz-Buchenwald;Wald;529.1679549;
416;BE;596186;A;596186A;596399;186127;2018/19;;WKMIII;;;;;Plateau;731;0.02;0.64;624;Zahnwurz-Buchenwald;Wald;125.4331593;
417;BE;596186;B;596186B;596135;186206;2018/19;;WKMIII;;;;;Plateau;731;0.02;0.64;623;Waldmeister-Buchenwald;Wald;133.3565295;
418;BE;596186;C;596186C;596799;186301;2018/19;;WKMIII;;;;;Plateau;731;0.02;0.64;623;Waldmeister-Buchenwald;Wald;52.31611634;
419;BE;599182;A;599182A;599175;182843;2018/19;;WKMIII;;;;;Plateau;973;0.01;0.82;624;Zahnwurz-Buchenwald;Wald;94.15778109;
420;BE;599182;B;599182B;599595;182612;2018/19;;WKMIII;;;;;Plateau;973;0.01;0.82;624;Zahnwurz-Buchenwald;Wald;221.9550378;
421;BE;599182;C;599182C;599389;182179;2018/19;;WKMIII;;;;;Plateau;973;0.01;0.82;624;Zahnwurz-Buchenwald;Wald;69.53516686;
422;BE;599206;A;599206A;599847;206398;2018/19;;WKMIII;;;;;Plateau;597;0.05;0.19;623;Waldmeister-Buchenwald;Wald;24.2529298;
423;BE;599206;B;599206B;599822;206136;2018/19;;WKMIII;;;;;Plateau;597;0.05;0.19;623;Waldmeister-Buchenwald;Wald;123.4773898;
424;BE;599206;C;599206C;599086;206729;2018/19;;WKMIII;;;;;Plateau;597;0.05;0.19;623;Waldmeister-Buchenwald;Wald;44.71888357;
425;BE;603141;A;603141A;603635;141895;2018/19;;WKMIII;;;;;Prealps;1287;0.02;0.76;661;Tannen-Fichtenwald;Wald;141.5006771;
426;BE;603141;B;603141B;603815;141575;2018/19;;WKMIII;;;;;Prealps;1287;0.02;0.76;452;Bergfettwiese (Goldhaferwiese);Wald;227.5835654;
427;BE;603141;C;603141C;603260;141695;2018/19;;WKMIII;;;;;Prealps;1287;0.02;0.76;64;Wärmeliebende Föhrenwälder;Wald;131.824688;
428;BE;605174;A;605174A;605709;174577;2018/19;;WKMIII;;;;;Prealps;1034;0.02;0.63;624;Zahnwurz-Buchenwald;Wald;64.58568814;
429;BE;605174;B;605174B;605910;174118;2018/19;;WKMIII;;;;;Prealps;1034;0.02;0.63;624;Zahnwurz-Buchenwald;Wald;197.9530334;
430;BE;605174;C;605174C;605193;174516;2018/19;;WKMIII;;;;;Prealps;1034;0.02;0.63;624;Zahnwurz-Buchenwald;Wald;75.09470044;
431;BE;605238;A;605238A;605943;238451;2018/19;;WKMIII;;;;;Jura;969;0.00;0.68;62;Buchenwälder;Wald;68.99053215;
432;BE;605238;B;605238B;605648;238522;2018/19;;WKMIII;;;;;Jura;969;0.00;0.68;624;Zahnwurz-Buchenwald;Wald;11.81988805;
433;BE;611206;A;611206A;611940;206237;2018/19;;WKMIII;;;;;Plateau;721;0.09;0.21;401;Kunstwiese auf Fruchtfolgefläche;;40.47411194;
434;BE;611206;B;611206B;611085;206049;2018/19;;WKMIII;;;;;Plateau;721;0.09;0.21;623;Waldmeister-Buchenwald;Wald;66.00806999;
435;BE;611206;C;611206C;611743;206746;2018/19;;WKMIII;;;;;Plateau;721;0.09;0.21;82;Feldkulturen (Äcker);;139.1410573;
436;BE;614170;A;614170A;614815;170879;2018/19;;WKMIII;;;;;Prealps;732;0.04;0.67;612;Weichholz-Auenwald;Wald;77.12886712;
437;BE;614170;B;614170B;614820;170420;2018/19;;WKMIII;;;;;Prealps;732;0.04;0.67;623;Waldmeister-Buchenwald;Wald;5.830925769;
438;BE;614170;C;614170C;614828;170173;2018/19;;WKMIII;;;;;Prealps;732;0.04;0.67;451;Talfettwiese;Wald;30.22289327;
439;BE;614170;A;614170A;614733;170640;2019/20;;WKMIV;;;;;Prealps;732;0.04;0.67;52;Hochstauden- und Schlagfluren;Wald;55.60338318;
440;BE;614170;B;614170B;614604;170017;2019/20;;WKMIV;;;;;Prealps;732;0.04;0.67;623;Waldmeister-Buchenwald;Wald;108.9467158;
441;BE;614170;C;614170C;614458;169931;2019/20;;WKMIV;;;;;Prealps;732;0.04;0.67;624;Zahnwurz-Buchenwald;Wald;171.7907983;
442;BE;610172;A;610172A;610770;172396;2019/20;;WKMIV;;;;;;;;;623;Waldmeister-Buchenwald;Wald;49.14569498;
443;BE;610172;B;610172B;611411;171916;2019/20;;WKMIV;;;;;;;;;624;Zahnwurz-Buchenwald;Wald;433.2070641;
444;BE;610172;C;610172C;610666;172211;2019/20;;WKMIV;;;;;;;;;624;Zahnwurz-Buchenwald;Wald;241.6706594;
445;BE;614234;A;614234A;614706;234793;2018/19;;WKMIII;;;;;Jura;665;0.04;0.36;62;Buchenwälder;Wald;49.7721967;
446;BE;614234;B;614234B;614212;234657;2018/19;;WKMIII;;;;;Jura;665;0.04;0.36;62;Buchenwälder;Wald;40.82747357;
447;BE;614234;C;614234C;614268;234189;2018/19;;WKMIII;;;;;Jura;665;0.04;0.36;62;Buchenwälder;Wald;30.92149987;
448;BE;620162;A;620162A;620428;162189;2018/19;;WKMIII;;;;;Prealps;1006;0.07;0.13;624;Zahnwurz-Buchenwald;Wald;38.5353096;
449;BE;620162;B;620162B;620995;162638;2018/19;;WKMIII;;;;;Prealps;1006;0.07;0.13;933;Naturstrasse, Weg;Wald;43.90540523;
450;BE;620162;C;620162C;620057;162529;2018/19;;WKMIII;;;;;Prealps;1006;0.07;0.13;53;Gebüsche;;358.5033831;
451;BE;620210;A;620210A;620640;210439;2018/19;;WKMIII;;;;;Plateau;719;0.06;0.17;623;Waldmeister-Buchenwald;Wald;31.15187287;
452;BE;620210;B;620210B;620401;210640;2018/19;;WKMIII;;;;;Plateau;719;0.06;0.17;623;Waldmeister-Buchenwald;Wald;33.22698348;
453;BE;620210;C;620210C;620108;210291;2018/19;;WKMIII;;;;;Plateau;719;0.06;0.17;401;Kunstwiese auf Fruchtfolgefläche;;41.75682306;
454;BE;623214;A;623214A;623019;214345;2018/19;;WKMIII;;;;;Plateau;722;0.09;0.07;62;Buchenwälder;Wald;32.69446965;
455;BE;623214;B;623214B;623745;214013;2018/19;;WKMIII;;;;;Plateau;722;0.09;0.07;623;Waldmeister-Buchenwald;Wald;22.5072275;
456;BE;623214;C;623214C;623013;214028;2018/19;;WKMIII;;;;;Plateau;722;0.09;0.07;624;Zahnwurz-Buchenwald;Wald;73.11193594;
457;BE;626202;A;626202A;626886;202491;2018/19;;WKMIII;;;;;Prealps;911;0.05;0.46;933;Naturstrasse, Weg;Wald;45.90562638;
458;BE;626202;B;626202B;626693;202837;2018/19;;WKMIII;;;;;Prealps;911;0.05;0.46;624;Zahnwurz-Buchenwald;Wald;54.04631541;
459;BE;626202;C;626202C;626363;202703;2018/19;;WKMIII;;;;;Prealps;911;0.05;0.46;624;Zahnwurz-Buchenwald;Wald;38.73321772;
460;BE;629206;A;629206A;629263;206694;2018/19;;WKMIII;;;;;Prealps;1006;0.01;0.57;624;Zahnwurz-Buchenwald;Wald;22.81693354;
461;BE;629206;B;629206B;629693;206688;2018/19;;WKMIII;;;;;Prealps;1006;0.01;0.57;624;Zahnwurz-Buchenwald;Wald;17.0433206;
462;BE;629206;C;629206C;629261;206191;2018/19;;WKMIII;;;;;Prealps;1006;0.01;0.57;624;Zahnwurz-Buchenwald;Wald;43.4984715;
463;BE;629222;A;629222A;629488;222486;2018/19;;WKMIII;;;;;Plateau;697;0.05;0.59;624;Zahnwurz-Buchenwald;Wald;42.77152878;
464;BE;629222;B;629222B;629538;222186;2018/19;;WKMIII;;;;;Plateau;697;0.05;0.59;623;Waldmeister-Buchenwald;Wald;84.16899071;
465;BE;629222;C;629222C;629244;222710;2018/19;;WKMIII;;;;;Plateau;697;0.05;0.59;623;Waldmeister-Buchenwald;Wald;120.0801759;
466;BE;629230;A;629230A;629328;230679;2018/19;;WKMIII;;;;;Plateau;492;0.02;0.84;623;Waldmeister-Buchenwald;Wald;108.8423786;
467;BE;629230;B;629230B;629698;230322;2018/19;;WKMIII;;;;;Plateau;492;0.02;0.84;623;Waldmeister-Buchenwald;Wald;255.3298914;
468;BE;629230;C;629230C;629663;230774;2018/19;;WKMIII;;;;;Plateau;492;0.02;0.84;623;Waldmeister-Buchenwald;Wald;61.28697603;
469;BE;662170;A;662170A;662055;170387;2018/19;;WKMIII;;;;;Prealps;1151;0.02;0.69;623;Waldmeister-Buchenwald;Wald;16.5590741;
470;BE;662170;B;662170B;662189;170167;2018/19;;WKMIII;;;;;Prealps;1151;0.02;0.69;623;Waldmeister-Buchenwald;Wald;9.930147548;
471;BE;662170;C;662170C;662039;170085;2018/19;;WKMIII;;;;;Prealps;1151;0.02;0.69;623;Waldmeister-Buchenwald;Wald;37.52867822;
472;BE;607192;A;607192A;607167;192912;2019/20;;WKMIV;;;;;0;520;0.07;0.57;614;Hartholz-Auenwald;Wald;137.2445349;
473;BE;607192;B;607192B;607311;192622;2019/20;;WKMIV;;;;;0;520;0.07;0.57;52;Hochstauden- und Schlagfluren;Wald;131.6518803;
474;BE;607192;C;607192C;607569;192002;2019/20;;WKMIV;;;;;0;520;0.07;0.57;614;Hartholz-Auenwald;Wald;131.6698238;
475;BE;603196;A;603196A;603087;196929;2019/20;;WKMIV;;;;;0;511;0.05;0.12;614;Hartholz-Auenwald;Wald;56.25005553;
476;BE;603196;B;603196B;602961;196915;2019/20;;WKMIV;;;;;0;511;0.05;0.12;321;Alluvion ohne Vegetation;;12.81371817;
477;BE;603196;C;603196C;603207;196888;2019/20;;WKMIV;;;;;0;511;0.05;0.12;614;Hartholz-Auenwald;Wald;48.26259171;
478;BE;603196;D;603196D;603314;197054;2019/20;;WKMIV;;;;;0;511;0.05;0.12;221;Grossseggenried;Wald;31.72418359;
479;BE;560218;B;560218B;560884;218256;2019/20;;WKMIV;;;;;Jura;904;0.05;0.15;624;Zahnwurz-Buchenwald;Wald;41.52476402;
480;BE;560218;C;560218C;560790;218060;2019/20;;WKMIV;;;;;Jura;904;0.05;0.15;624;Zahnwurz-Buchenwald;Wald;68.31329593;
481;BE;566226;A;566226A;566504;226632;2019/20;;WKMIV;;;;;Jura;1083;0.01;0.64;624;Zahnwurz-Buchenwald;Wald;93.827235;
482;BE;566226;B;566226B;566944;226888;2019/20;;WKMIV;;;;;Jura;1083;0.01;0.64;624;Zahnwurz-Buchenwald;Wald;86.20902993;
483;BE;566226;C;566226C;566582;226270;2019/20;;WKMIV;;;;;Jura;1083;0.01;0.64;453;Talfettweide (Kammgrasweide);Wald;52.89815044;
484;BE;569206;A;569206A;569667;206261;2019/20;;WKMIV;;;;;Plateau;433;0.04;0.56;614;Hartholz-Auenwald;Wald;83.07905836;
485;BE;569206;C;569206C;569703;206526;2019/20;;WKMIV;;;;;Plateau;433;0.04;0.56;636;Saurer Eichenmischwald;Wald;4.258095443;
486;BE;569222;C;569222C;569724;222559;2019/20;;WKMIV;;;;;Jura;990;0.02;0.67;624;Zahnwurz-Buchenwald;Wald;53.9769479;
487;BE;572210;A;572210A;572652;210031;2019/20;;WKMIV;;;;;Plateau;445;0.07;0.17;62;Buchenwälder;Wald;168.2897355;
488;BE;572210;B;572210B;572332;210220;2019/20;;WKMIV;;;;;Plateau;445;0.07;0.17;401;Kunstwiese auf Fruchtfolgefläche;;152.3723112;
489;BE;572210;C;572210C;572734;210653;2019/20;;WKMIV;;;;;Plateau;445;0.07;0.17;633;Eichen- Hainbuchenwald;Wald;38.66576122;
490;BE;572218;A;572218A;572545;218920;2019/20;;WKMIV;;;;;Jura;960;0.21;0.29;624;Zahnwurz-Buchenwald;Wald;115.1796896;
491;BE;572218;B;572218B;572140;218805;2019/20;;WKMIV;;;;;Jura;960;0.21;0.29;624;Zahnwurz-Buchenwald;Wald;114.355222;
492;BE;572218;C;572218C;572155;218695;2019/20;;WKMIV;;;;;Jura;960;0.21;0.29;624;Zahnwurz-Buchenwald;Wald;22.4600861;
493;BE;578226;A;578226A;578064;226060;2019/20;;WKMIV;;;;;Jura;724;0.04;0.19;623;Waldmeister-Buchenwald;Wald;10.83637352;
494;BE;578226;B;578226B;578444;226046;2019/20;;WKMIV;;;;;Jura;724;0.04;0.19;623;Waldmeister-Buchenwald;Wald;26.12372381;
495;BE;584202;A;584202A;584283;202892;2019/20;;WKMIV;;;;;Plateau;520;0.12;0.28;623;Waldmeister-Buchenwald;Wald;129.8825328;
496;BE;584202;B;584202B;584476;202976;2019/20;;WKMIV;;;;;Plateau;520;0.12;0.28;622;Hainsimsen-Buchenwald;Wald;89.78738722;
497;BE;584234;A;584234A;584437;234043;2019/20;;WKMIV;;;;;Jura;1156;0.00;0.52;625;Tannen-Buchenwald;;46.34769426;
498;BE;590226;A;590226A;590475;226080;2019/20;;WKMIV;;;;;Jura;781;0.02;0.47;624;Zahnwurz-Buchenwald;Wald;1314.136956;
499;BE;590226;B;590226B;590820;226785;2019/20;;WKMIV;;;;;Jura;781;0.02;0.47;623;Waldmeister-Buchenwald;Wald;1840.120535;
500;BE;590226;C;590226C;590315;226870;2019/20;;WKMIV;;;;;Jura;781;0.02;0.47;623;Waldmeister-Buchenwald;Wald;2064.240695;
501;BE;593214;A;593214A;593270;214480;2019/20;;WKMIV;;;;;Plateau;536;0.04;0.54;623;Waldmeister-Buchenwald;Wald;165.8499014;
502;BE;593214;B;593214B;593540;214430;2019/20;;WKMIV;;;;;Plateau;536;0.04;0.54;624;Zahnwurz-Buchenwald;Wald;117.7071955;
503;BE;593214;C;593214C;593790;214350;2019/20;;WKMIV;;;;;Plateau;536;0.04;0.54;624;Zahnwurz-Buchenwald;Wald;70.15327034;
504;BE;596234;C;596234C;596399;234284;2019/20;;WKMIV;;;;;Jura;1032;0.00;0.82;624;Zahnwurz-Buchenwald;Wald;833.1479256;
505;BE;599222;A;599222A;599287;222643;2019/20;;WKMIV;;;;;Plateau;546;0.05;0.75;623;Waldmeister-Buchenwald;Wald;245.2431114;
506;BE;599238;B;599238B;599996;238817;2019/20;;WKMIV;;;;;Jura;1083;0.00;0.82;625;Tannen-Buchenwald;Wald;867.0436835;
507;BE;605166;A;605166A;605440;166910;2019/20;;WKMIV;;;;;Prealps;965;0.01;0.44;623;Waldmeister-Buchenwald;Wald;15.52024607;
508;BE;605166;B;605166B;605550;166660;2019/20;;WKMIV;;;;;Prealps;965;0.01;0.44;623;Waldmeister-Buchenwald;Wald;30.35576702;
509;BE;605166;C;605166C;605120;166570;2019/20;;WKMIV;;;;;Prealps;965;0.01;0.44;623;Waldmeister-Buchenwald;Wald;65.62848781;
510;BE;605190;B;605190B;605535;190713;2019/20;;WKMIV;;;;;Plateau;687;0.03;0.61;624;Zahnwurz-Buchenwald;Wald;157.8439886;
511;BE;605190;C;605190C;605371;190522;2019/20;;WKMIV;;;;;Plateau;687;0.03;0.61;624;Zahnwurz-Buchenwald;Wald;187.2044532;
512;BE;605206;A;605206A;605265;206753;2019/20;;WKMIV;;;;;Plateau;577;0.03;0.82;623;Waldmeister-Buchenwald;Wald;162.3859264;
513;BE;605206;B;605206B;605933;206611;2019/20;;WKMIV;;;;;Plateau;577;0.03;0.82;623;Waldmeister-Buchenwald;Wald;506.6911732;
514;BE;605206;C;605206C;605797;206225;2019/20;;WKMIV;;;;;Plateau;577;0.03;0.82;624;Zahnwurz-Buchenwald;Wald;245.9744778;
515;BE;617182;A;617182A;617248;182312;2019/20;;WKMIV;;;;;Prealps;796;0.08;0.08;624;Zahnwurz-Buchenwald;Wald;37.05322835;
516;BE;617182;C;617182C;617995;182040;2019/20;;WKMIV;;;;;Prealps;796;0.08;0.08;624;Zahnwurz-Buchenwald;Wald;21.54777342;
