fid;Kanton;ID_Nr;Latte;Latte-ID;x;y;Dat_Kontrolle;NameMitarbeiter;SampleID;RESULTAT;Male;mtDNAcod;IndividuenID;BioGeoRegions;AltitudeMedian;SettlementProportion;ForestProportion;TypoCH_NUM;TypoCH;OBJEKTART;Distance;Bemerkung
235;LU;641214;C;641214C;641127;214913;10.04.2019;Hï¿½sler;WKMIII402_4_74;Dc;Unclear;Dmt;Dc14;Plateau;712;0.05;0.13;624;Zahnwurz-Buchenwald;Wald;31.85553205;
236;LU;641214;C;641214C;641127;214913;24.04.2019;Hï¿½sler;WKMIII408_5_1;Dc;F_orUnknown;Dmt;Dc14;Plateau;712;0.05;0.13;624;Zahnwurz-Buchenwald;Wald;31.85553205;
237;LU;644218;B;644218B;644152;218494;25.02.2019;Meyer;WKMIII238_2_79;Dc;DY;Dmt;Dc64;Plateau;610;0.07;0.12;623;Waldmeister-Buchenwald;Wald;10.26287703;
238;LU;644218;C;644218C;644970;218529;24.04.2019;Meyer;WKMIII410_9_25;Dc;F_orUnknown;Dmt;Dc15;Plateau;610;0.07;0.12;623;Waldmeister-Buchenwald;Wald;17.351606;
239;LU;662210;B;662210B;662607;210369;21.03.2019;Vogler;WKMIII323_6_34;Dc;DY;Dmt;DcSec24;Prealps;662;0.07;0.50;624;Zahnwurz-Buchenwald;Wald;42.90065913;
240;LU;635214;C;635214C;635217;214312;20.03.2020;Bieri;WKMIV789_13_73;Dmt;F_orUnknown;Dmt;;Prealps;766;0.07;0.20;624;Zahnwurz-Buchenwald;Wald;15.90751955;
241;LU;635230;C;635230C;635440;230909;29.02.2020;Vogel B;WKMIV709_16_47;Dc;Unclear;Dmt;;Plateau;559;0.07;0.25;623;Waldmeister-Buchenwald;Wald;43.95752252;
242;LU;662234;A;662234A;662100;234871;11.02.2020;Kottmann;WKMIV671_15_56;Dc;F_orUnknown;Dmt;DcSec41;Plateau;660;0.02;0.28;623;Waldmeister-Buchenwald;Wald;26.52062431;
243;LU;671214;B;671214B;671257;214962;15.03.2020;Ludin;WKMIV764_13_32;Dc;DY;Dmt;Dc84;Plateau;612;0.16;0.15;624;Zahnwurz-Buchenwald;Wald;49.2882737;
244;NE;560210;A;560210A;560206;210084;24.01.2019;Bardet;WKMIII069_7_53;Dc;F_orUnknown;Dmt;Dc01;Jura;739;0.05;0.11;623;Waldmeister-Buchenwald;Wald;26.77781663;
245;NE;560210;B;560210B;560594;210816;13.12.2018;Bardet;WKMIII010_5_29;Dc;DY;Dmt;DcSec_04;Jura;739;0.05;0.11;623;Waldmeister-Buchenwald;Wald;10.20138627;
246;NE;560210;B;560210B;560594;210816;10.01.2019;Bardet;WKMIII039_7_29;Dc;F_orUnknown;Dmt;Dc01;Jura;739;0.05;0.11;623;Waldmeister-Buchenwald;Wald;10.20138627;
